language,serieId,setId,setName,cardNumber,cardId,cardName,reason
en,ex,exu,Unseen Forces Unown Collection,U,exu-U,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,F,exu-F,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,%3F,exu-%3F,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,B,exu-B,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,Z,exu-Z,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,C,exu-C,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,G,exu-G,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,X,exu-X,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,D,exu-D,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,E,exu-E,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,A,exu-A,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,Y,exu-Y,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,J,exu-J,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,R,exu-R,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,!,exu-!,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,N,exu-N,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,V,exu-V,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,O,exu-O,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,W,exu-W,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,K,exu-K,Unown,SET_MISSING
en,ex,exu,Unseen Forces Unown Collection,S,exu-S,Unown,SET_MISSING
en,pop,pop6,POP Series 6,17,pop6-17,Turtwig,CARD_MISSING
en,pop,pop6,POP Series 6,13,pop6-13,Cherubi,CARD_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),1,tk-ex-latia-1,Bagon,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),5,tk-ex-latia-5,Numel,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),4,tk-ex-latia-4,Latias,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),7,tk-ex-latia-7,Torchic,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),3,tk-ex-latia-3,Delcatty,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),2,tk-ex-latia-2,Combusken,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),6,tk-ex-latia-6,Skitty,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),10,tk-ex-latia-10,Fire Energy,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),9,tk-ex-latia-9,Energy Search,SERIE_MISSING
en,tk,tk-ex-latia,EX trainer Kit (Latias),8,tk-ex-latia-8,Potion,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),1,tk-ex-latio-1,Electrike,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),5,tk-ex-latio-5,Magneton,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),4,tk-ex-latio-4,Magnemite,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),7,tk-ex-latio-7,Zigzagoon,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),3,tk-ex-latio-3,Linoone,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),2,tk-ex-latio-2,Latios,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),6,tk-ex-latio-6,Pikachu,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),10,tk-ex-latio-10,Lightning Energy,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),9,tk-ex-latio-9,Energy Search,SERIE_MISSING
en,tk,tk-ex-latio,EX trainer Kit (Latios),8,tk-ex-latio-8,Potion,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),12,tk-ex-m-12,Lightning Energy,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),1,tk-ex-m-1,Arcanine,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),5,tk-ex-m-5,Mareep,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),4,tk-ex-m-4,Growlithe,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),7,tk-ex-m-7,Vulpix,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),3,tk-ex-m-3,Charmeleon,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),2,tk-ex-m-2,Charmander,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),6,tk-ex-m-6,Minun,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),10,tk-ex-m-10,Potion,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),9,tk-ex-m-9,Energy Search,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),11,tk-ex-m-11,Fire Energy,SERIE_MISSING
en,tk,tk-ex-m,EX trainer Kit 2 (Minun),8,tk-ex-m-8,Celio's Network,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),12,tk-ex-p-12,Psychic Energy,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),1,tk-ex-p-1,Beldum,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),5,tk-ex-p-5,Metang,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),4,tk-ex-p-4,Meowth,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),7,tk-ex-p-7,Spoink,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),3,tk-ex-p-3,Grumpig,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),2,tk-ex-p-2,Electrike,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),6,tk-ex-p-6,Plusle,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),10,tk-ex-p-10,Professor Cozmo's Discovery,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),9,tk-ex-p-9,Potion,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),11,tk-ex-p-11,Lightning Energy,SERIE_MISSING
en,tk,tk-ex-p,EX trainer Kit 2 (Plusle),8,tk-ex-p-8,Energy Search,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),1,tk-dp-l-1,Geodude,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),5,tk-dp-l-5,Machop,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),4,tk-dp-l-4,Machoke,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),7,tk-dp-l-7,Starly,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),3,tk-dp-l-3,Lucario,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),2,tk-dp-l-2,Graveler,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),6,tk-dp-l-6,Riolu,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),10,tk-dp-l-10,Quick Ball,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),9,tk-dp-l-9,Potion,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),11,tk-dp-l-11,Fighting Energy,SERIE_MISSING
en,tk,tk-dp-l,DP trainer Kit (Lucario),8,tk-dp-l-8,Energy Search,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),12,tk-dp-m-12,Water Energy,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),1,tk-dp-m-1,Buizel,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),5,tk-dp-m-5,Piplup,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),4,tk-dp-m-4,Manaphy,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),7,tk-dp-m-7,Seaking,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),3,tk-dp-m-3,Goldeen,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),2,tk-dp-m-2,Floatzel,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),6,tk-dp-m-6,Prinplup,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),10,tk-dp-m-10,Energy Search,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),9,tk-dp-m-9,Dusk Ball,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),11,tk-dp-m-11,Potion,SERIE_MISSING
en,tk,tk-dp-m,DP trainer Kit (Manaphy),8,tk-dp-m-8,Totodile,SERIE_MISSING
en,tk,tk-hs-g,HS trainer Kit (Gyarados),20,tk-hs-g-20,Gyarados,SERIE_MISSING
en,tk,tk-hs-r,HS trainer Kit (Raichu),19,tk-hs-r-19,Raichu,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),26,tk-bw-e-26,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),12,tk-bw-e-12,Audino,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),16,tk-bw-e-16,PlusPower,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),22,tk-bw-e-22,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),17,tk-bw-e-17,Excadrill,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),23,tk-bw-e-23,Potion,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),27,tk-bw-e-27,Lillipup,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),13,tk-bw-e-13,Drilbur,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),18,tk-bw-e-18,Audino,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),1,tk-bw-e-1,Lillipup,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),28,tk-bw-e-28,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),5,tk-bw-e-5,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),29,tk-bw-e-29,Timburr,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),4,tk-bw-e-4,Energy Switch,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),19,tk-bw-e-19,Herdier,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),7,tk-bw-e-7,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),3,tk-bw-e-3,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),2,tk-bw-e-2,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),6,tk-bw-e-6,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),14,tk-bw-e-14,Gurdurr,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),20,tk-bw-e-20,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),30,tk-bw-e-30,Excadrill,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),24,tk-bw-e-24,Pokémon Communication,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),10,tk-bw-e-10,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),9,tk-bw-e-9,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),25,tk-bw-e-25,Drilbur,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),11,tk-bw-e-11,Timburr,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),8,tk-bw-e-8,Fighting Energy,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),15,tk-bw-e-15,Potion,SERIE_MISSING
en,tk,tk-bw-e,BW trainer Kit (Excadrill),21,tk-bw-e-21,Energy Search,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),26,tk-bw-z-26,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),12,tk-bw-z-12,Patrat,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),16,tk-bw-z-16,Energy Retrieval,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),22,tk-bw-z-22,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),17,tk-bw-z-17,Zoroark,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),23,tk-bw-z-23,Zorua,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),27,tk-bw-z-27,Energy Search,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),13,tk-bw-z-13,Zorua,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),18,tk-bw-z-18,Pokémon Communication,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),1,tk-bw-z-1,Purrloin,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),28,tk-bw-z-28,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),5,tk-bw-z-5,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),29,tk-bw-z-29,Patrat,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),4,tk-bw-z-4,Minccino,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),19,tk-bw-z-19,Minccino,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),7,tk-bw-z-7,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),3,tk-bw-z-3,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),2,tk-bw-z-2,Watchog,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),6,tk-bw-z-6,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),14,tk-bw-z-14,Pidove,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),20,tk-bw-z-20,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),30,tk-bw-z-30,Zoroark,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),24,tk-bw-z-24,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),10,tk-bw-z-10,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),9,tk-bw-z-9,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),25,tk-bw-z-25,Purrloin,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),11,tk-bw-z-11,PlusPower,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),8,tk-bw-z-8,Darkness Energy,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),15,tk-bw-z-15,Tranquill,SERIE_MISSING
en,tk,tk-bw-z,BW trainer Kit (Zoroark),21,tk-bw-z-21,Pidove,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),26,tk-xy-n-26,Darkness Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),12,tk-xy-n-12,Noibat,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),16,tk-xy-n-16,Ekans,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),22,tk-xy-n-22,Darkness Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),17,tk-xy-n-17,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),23,tk-xy-n-23,Noibat,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),27,tk-xy-n-27,Potion,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),13,tk-xy-n-13,Noivern,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),18,tk-xy-n-18,Pumpkaboo,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),1,tk-xy-n-1,Spoink,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),28,tk-xy-n-28,Darkness Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),5,tk-xy-n-5,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),29,tk-xy-n-29,Switch,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),4,tk-xy-n-4,Bunnelby,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),19,tk-xy-n-19,Darkness Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),7,tk-xy-n-7,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),3,tk-xy-n-3,Arbok,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),2,tk-xy-n-2,Gourgeist,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),6,tk-xy-n-6,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),14,tk-xy-n-14,Pokémon Catcher,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),20,tk-xy-n-20,Furfrou,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),30,tk-xy-n-30,Noivern,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),24,tk-xy-n-24,Professor’s Letter,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),10,tk-xy-n-10,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),9,tk-xy-n-9,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),25,tk-xy-n-25,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),11,tk-xy-n-11,Pumpkaboo,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),8,tk-xy-n-8,Psychic Energy,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),15,tk-xy-n-15,Potion,SERIE_MISSING
en,tk,tk-xy-n,XY trainer Kit (Noivern),21,tk-xy-n-21,Poké Ball,SERIE_MISSING
en,tk,tk-xy-sy,XY trainer Kit (Sylveon),26,tk-xy-sy-26,Poké Ball,SERIE_MISSING
